trt	ano	mes	recebidos
9	2008	6	4126
10	2008	6	1285
11	2008	6	879
12	2008	6	2054
13	2008	6	595
14	2008	6	263
15	2008	6	7964
16	2008	6	422
17	2008	6	1131
18	2008	6	1621
19	2008	6	423
20	2008	6	307
21	2008	6	1173
22	2008	6	296
23	2008	6	909
24	2008	6	912
1	2008	7	4638
2	2008	7	11204
3	2008	7	6815
4	2008	7	7505
5	2008	7	3441
6	2008	7	1782
7	2008	7	653
8	2008	7	1316
9	2008	7	4374
10	2008	7	1427
11	2008	7	944
12	2008	7	2340
13	2008	7	856
14	2008	7	473
15	2008	7	8709
16	2008	7	445
17	2008	7	1428
18	2008	7	1790
19	2008	7	549
20	2008	7	586
21	2008	7	1057
22	2008	7	378
23	2008	7	719
24	2008	7	769
1	2008	8	4195
2	2008	8	10946
3	2008	8	6181
4	2008	8	6436
5	2008	8	3201
6	2008	8	1595
7	2008	8	568
8	2008	8	1399
9	2008	8	3606
10	2008	8	1194
11	2008	8	928
12	2008	8	2224
13	2008	8	702
14	2008	8	276
15	2008	8	8276
16	2008	8	734
17	2008	8	1205
18	2008	8	1258
19	2008	8	374
20	2008	8	536
21	2008	8	1183
22	2008	8	389
23	2008	8	629
24	2008	8	547
1	2008	9	4367
2	2008	9	10776
3	2008	9	6975
4	2008	9	8130
5	2008	9	3338
6	2008	9	2044
7	2008	9	743
8	2008	9	1673
9	2008	9	4276
10	2008	9	1276
11	2008	9	6
12	2008	9	2406
13	2008	9	837
14	2008	9	406
15	2008	9	8820
16	2008	9	554
17	2008	9	1250
18	2008	9	1353
19	2008	9	400
20	2008	9	645
21	2008	9	931
22	2008	9	505
23	2008	9	662
24	2008	9	782
1	2008	10	4531
2	2008	10	11753
3	2008	10	6248
4	2008	10	7113
5	2008	10	3358
6	2008	10	1783
7	2008	10	518
8	2008	10	1635
9	2008	10	3716
10	2008	10	1263
11	2008	10	66
12	2008	10	2288
13	2008	10	821
14	2008	10	385
15	2008	10	7992
16	2008	10	622
17	2008	10	1559
18	2008	10	1183
19	2008	10	466
20	2008	10	574
21	2008	10	889
22	2008	10	438
23	2008	10	633
24	2008	10	755
1	2008	11	3407
2	2008	11	11055
3	2008	11	6449
4	2008	11	6993
5	2008	11	3018
6	2008	11	2016
7	2008	11	822
8	2008	11	1439
9	2008	11	4048
10	2008	11	1228
11	2008	11	48
12	2008	11	2541
13	2008	11	728
14	2008	11	328
15	2008	11	6946
16	2008	11	477
17	2008	11	1290
18	2008	11	1199
19	2008	11	358
20	2008	11	580
21	2008	11	880
22	2008	11	428
23	2008	11	629
24	2008	11	567
1	2008	12	3215
2	2008	12	3489
3	2008	12	4591
4	2008	12	5467
5	2008	12	2448
6	2008	12	1159
7	2008	12	500
8	2008	12	830
9	2008	12	2518
10	2008	12	1026
11	2008	12	294
12	2008	12	1429
13	2008	12	671
14	2008	12	185
15	2008	12	4629
16	2008	12	516
17	2008	12	565
18	2008	12	952
19	2008	12	376
20	2008	12	246
21	2008	12	663
22	2008	12	148
23	2008	12	461
24	2008	12	617
1	2009	1	2699
2	2009	1	8130
3	2009	1	2687
4	2009	1	3988
5	2009	1	2082
6	2009	1	1410
7	2009	1	439
8	2009	1	974
9	2009	1	2361
10	2009	1	1009
11	2009	1	677
12	2009	1	1516
13	2009	1	550
14	2009	1	305
15	2009	1	2026
16	2009	1	299
17	2009	1	807
18	2009	1	1010
19	2009	1	253
20	2009	1	409
21	2009	1	685
22	2009	1	283
23	2009	1	468
24	2009	1	397
1	2009	2	2051
2	2009	2	6831
3	2009	2	4600
4	2009	2	5027
5	2009	2	2239
